year,month,month_label,uf_code,uf,region,sex,age_group,age,persons_married,opposite_sex_people,same_sex_people
2020,4,Abril,11,RO,North,male,15,15,1,1,0
2020,4,Abril,11,RO,North,male,16,16,1,1,0
2020,4,Abril,11,RO,North,male,17,17,1,1,0
2020,4,Abril,11,RO,North,male,18,18,6,6,0
2020,4,Abril,11,RO,North,male,19,19,9,9,0
2020,4,Abril,12,AC,North,combined,15,15,0,0,0
2020,4,Abril,12,AC,North,combined,16,16,3,3,0
2020,4,Abril,12,AC,North,combined,17,17,6,6,0
2020,4,Abril,12,AC,North,combined,18,18,7,7,0
2020,4,Abril,12,AC,North,combined,19,19,8,8,0
2020,4,Abril,12,AC,North,female,15,15,0,0,0
2020,4,Abril,12,AC,North,female,16,16,3,3,0
2020,4,Abril,12,AC,North,female,17,17,5,5,0
2020,4,Abril,12,AC,North,female,18,18,4,4,0
2020,4,Abril,12,AC,North,female,19,19,4,4,0
2020,4,Abril,12,AC,North,male,15,15,0,0,0
2020,4,Abril,12,AC,North,male,16,16,0,0,0
2020,4,Abril,12,AC,North,male,17,17,1,1,0
2020,4,Abril,12,AC,North,male,18,18,3,3,0
2020,4,Abril,12,AC,North,male,19,19,4,4,0
2020,4,Abril,13,AM,North,combined,15,15,0,0,0
2020,4,Abril,13,AM,North,combined,16,16,1,1,0
2020,4,Abril,13,AM,North,combined,17,17,1,1,0
2020,4,Abril,13,AM,North,combined,18,18,9,9,0
2020,4,Abril,13,AM,North,combined,19,19,4,4,0
2020,4,Abril,13,AM,North,female,15,15,0,0,0
2020,4,Abril,13,AM,North,female,16,16,1,1,0
2020,4,Abril,13,AM,North,female,17,17,1,1,0
2020,4,Abril,13,AM,North,female,18,18,7,7,0
2020,4,Abril,13,AM,North,female,19,19,2,2,0
2020,4,Abril,13,AM,North,male,15,15,0,0,0
2020,4,Abril,13,AM,North,male,16,16,0,0,0
2020,4,Abril,13,AM,North,male,17,17,0,0,0
2020,4,Abril,13,AM,North,male,18,18,2,2,0
2020,4,Abril,13,AM,North,male,19,19,2,2,0
2020,4,Abril,14,RR,North,combined,15,15,0,0,0
2020,4,Abril,14,RR,North,combined,16,16,1,1,0
2020,4,Abril,14,RR,North,combined,17,17,2,2,0
2020,4,Abril,14,RR,North,combined,18,18,2,2,0
2020,4,Abril,14,RR,North,combined,19,19,3,3,0
2020,4,Abril,14,RR,North,female,15,15,0,0,0
2020,4,Abril,14,RR,North,female,16,16,1,1,0
2020,4,Abril,14,RR,North,female,17,17,2,2,0
2020,4,Abril,14,RR,North,female,18,18,2,2,0
2020,4,Abril,14,RR,North,female,19,19,2,2,0
2020,4,Abril,14,RR,North,male,15,15,0,0,0
2020,4,Abril,14,RR,North,male,16,16,0,0,0
2020,4,Abril,14,RR,North,male,17,17,0,0,0
2020,4,Abril,14,RR,North,male,18,18,0,0,0
2020,4,Abril,14,RR,North,male,19,19,1,1,0
2020,4,Abril,15,PA,North,combined,15,15,0,0,0
2020,4,Abril,15,PA,North,combined,16,16,15,15,0
2020,4,Abril,15,PA,North,combined,17,17,15,15,0
2020,4,Abril,15,PA,North,combined,18,18,50,50,0
2020,4,Abril,15,PA,North,combined,19,19,58,58,0
2020,4,Abril,15,PA,North,female,15,15,0,0,0
2020,4,Abril,15,PA,North,female,16,16,15,15,0
2020,4,Abril,15,PA,North,female,17,17,14,14,0
2020,4,Abril,15,PA,North,female,18,18,41,41,0
2020,4,Abril,15,PA,North,female,19,19,47,47,0
2020,4,Abril,15,PA,North,male,15,15,0,0,0
2020,4,Abril,15,PA,North,male,16,16,0,0,0
2020,4,Abril,15,PA,North,male,17,17,1,1,0
2020,4,Abril,15,PA,North,male,18,18,9,9,0
2020,4,Abril,15,PA,North,male,19,19,11,11,0
2020,4,Abril,16,AP,North,combined,15,15,0,0,0
2020,4,Abril,16,AP,North,combined,16,16,0,0,0
2020,4,Abril,16,AP,North,combined,17,17,0,0,0
2020,4,Abril,16,AP,North,combined,18,18,0,0,0
2020,4,Abril,16,AP,North,combined,19,19,2,2,0
2020,4,Abril,16,AP,North,female,15,15,0,0,0
2020,4,Abril,16,AP,North,female,16,16,0,0,0
2020,4,Abril,16,AP,North,female,17,17,0,0,0
2020,4,Abril,16,AP,North,female,18,18,0,0,0
2020,4,Abril,16,AP,North,female,19,19,2,2,0
2020,4,Abril,16,AP,North,male,15,15,0,0,0
2020,4,Abril,16,AP,North,male,16,16,0,0,0
2020,4,Abril,16,AP,North,male,17,17,0,0,0
2020,4,Abril,16,AP,North,male,18,18,0,0,0
2020,4,Abril,16,AP,North,male,19,19,0,0,0
2020,4,Abril,17,TO,North,combined,15,15,0,0,0
2020,4,Abril,17,TO,North,combined,16,16,5,5,0
2020,4,Abril,17,TO,North,combined,17,17,10,10,0
2020,4,Abril,17,TO,North,combined,18,18,7,7,0
2020,4,Abril,17,TO,North,combined,19,19,13,13,0
2020,4,Abril,17,TO,North,female,15,15,0,0,0
2020,4,Abril,17,TO,North,female,16,16,5,5,0
2020,4,Abril,17,TO,North,female,17,17,9,9,0
2020,4,Abril,17,TO,North,female,18,18,5,5,0
2020,4,Abril,17,TO,North,female,19,19,10,10,0
2020,4,Abril,17,TO,North,male,15,15,0,0,0
2020,4,Abril,17,TO,North,male,16,16,0,0,0
2020,4,Abril,17,TO,North,male,17,17,1,1,0
2020,4,Abril,17,TO,North,male,18,18,2,2,0
2020,4,Abril,17,TO,North,male,19,19,3,3,0
2020,4,Abril,21,MA,Northeast,combined,15,15,0,0,0
2020,4,Abril,21,MA,Northeast,combined,16,16,13,13,0
2020,4,Abril,21,MA,Northeast,combined,17,17,18,18,0
2020,4,Abril,21,MA,Northeast,combined,18,18,31,31,0
2020,4,Abril,21,MA,Northeast,combined,19,19,40,40,0
2020,4,Abril,21,MA,Northeast,female,15,15,0,0,0
2020,4,Abril,21,MA,Northeast,female,16,16,13,13,0
2020,4,Abril,21,MA,Northeast,female,17,17,18,18,0
2020,4,Abril,21,MA,Northeast,female,18,18,27,27,0
2020,4,Abril,21,MA,Northeast,female,19,19,22,22,0
2020,4,Abril,21,MA,Northeast,male,15,15,0,0,0
2020,4,Abril,21,MA,Northeast,male,16,16,0,0,0
2020,4,Abril,21,MA,Northeast,male,17,17,0,0,0
2020,4,Abril,21,MA,Northeast,male,18,18,4,4,0
2020,4,Abril,21,MA,Northeast,male,19,19,18,18,0
2020,4,Abril,22,PI,Northeast,combined,15,15,0,0,0
2020,4,Abril,22,PI,Northeast,combined,16,16,1,1,0
2020,4,Abril,22,PI,Northeast,combined,17,17,2,2,0
2020,4,Abril,22,PI,Northeast,combined,18,18,1,1,0
2020,4,Abril,22,PI,Northeast,combined,19,19,1,1,0
2020,4,Abril,22,PI,Northeast,female,15,15,0,0,0
2020,4,Abril,22,PI,Northeast,female,16,16,1,1,0
2020,4,Abril,22,PI,Northeast,female,17,17,1,1,0
2020,4,Abril,22,PI,Northeast,female,18,18,1,1,0
2020,4,Abril,22,PI,Northeast,female,19,19,1,1,0
2020,4,Abril,22,PI,Northeast,male,15,15,0,0,0
2020,4,Abril,22,PI,Northeast,male,16,16,0,0,0
2020,4,Abril,22,PI,Northeast,male,17,17,1,1,0
2020,4,Abril,22,PI,Northeast,male,18,18,0,0,0
2020,4,Abril,22,PI,Northeast,male,19,19,0,0,0
2020,4,Abril,23,CE,Northeast,combined,15,15,0,0,0
2020,4,Abril,23,CE,Northeast,combined,16,16,5,5,0
2020,4,Abril,23,CE,Northeast,combined,17,17,11,11,0
2020,4,Abril,23,CE,Northeast,combined,18,18,33,33,0
2020,4,Abril,23,CE,Northeast,combined,19,19,29,29,0
2020,4,Abril,23,CE,Northeast,female,15,15,0,0,0
2020,4,Abril,23,CE,Northeast,female,16,16,5,5,0
2020,4,Abril,23,CE,Northeast,female,17,17,10,10,0
2020,4,Abril,23,CE,Northeast,female,18,18,28,28,0
2020,4,Abril,23,CE,Northeast,female,19,19,19,19,0
2020,4,Abril,23,CE,Northeast,male,15,15,0,0,0
2020,4,Abril,23,CE,Northeast,male,16,16,0,0,0
2020,4,Abril,23,CE,Northeast,male,17,17,1,1,0
2020,4,Abril,23,CE,Northeast,male,18,18,5,5,0
2020,4,Abril,23,CE,Northeast,male,19,19,10,10,0
2020,4,Abril,24,RN,Northeast,combined,15,15,0,0,0
2020,4,Abril,24,RN,Northeast,combined,16,16,6,6,0
2020,4,Abril,24,RN,Northeast,combined,17,17,8,8,0
2020,4,Abril,24,RN,Northeast,combined,18,18,13,13,0
2020,4,Abril,24,RN,Northeast,combined,19,19,21,21,0
2020,4,Abril,24,RN,Northeast,female,15,15,0,0,0
2020,4,Abril,24,RN,Northeast,female,16,16,5,5,0
2020,4,Abril,24,RN,Northeast,female,17,17,7,7,0
2020,4,Abril,24,RN,Northeast,female,18,18,11,11,0
2020,4,Abril,24,RN,Northeast,female,19,19,15,15,0
2020,4,Abril,24,RN,Northeast,male,15,15,0,0,0
2020,4,Abril,24,RN,Northeast,male,16,16,1,1,0
2020,4,Abril,24,RN,Northeast,male,17,17,1,1,0
2020,4,Abril,24,RN,Northeast,male,18,18,2,2,0
2020,4,Abril,24,RN,Northeast,male,19,19,6,6,0
2020,4,Abril,25,PB,Northeast,combined,15,15,0,0,0
2020,4,Abril,25,PB,Northeast,combined,16,16,0,0,0
2020,4,Abril,25,PB,Northeast,combined,17,17,2,2,0
2020,4,Abril,25,PB,Northeast,combined,18,18,0,0,0
2020,4,Abril,25,PB,Northeast,combined,19,19,5,5,0
2020,4,Abril,25,PB,Northeast,female,15,15,0,0,0
2020,4,Abril,25,PB,Northeast,female,16,16,0,0,0
2020,4,Abril,25,PB,Northeast,female,17,17,2,2,0
2020,4,Abril,25,PB,Northeast,female,18,18,0,0,0
2020,4,Abril,25,PB,Northeast,female,19,19,2,2,0
2020,4,Abril,25,PB,Northeast,male,15,15,0,0,0
2020,4,Abril,25,PB,Northeast,male,16,16,0,0,0
2020,4,Abril,25,PB,Northeast,male,17,17,0,0,0
2020,4,Abril,25,PB,Northeast,male,18,18,0,0,0
2020,4,Abril,25,PB,Northeast,male,19,19,3,3,0
2020,4,Abril,26,PE,Northeast,combined,15,15,0,0,0
2020,4,Abril,26,PE,Northeast,combined,16,16,2,2,0
2020,4,Abril,26,PE,Northeast,combined,17,17,3,3,0
2020,4,Abril,26,PE,Northeast,combined,18,18,28,28,0
2020,4,Abril,26,PE,Northeast,combined,19,19,32,32,0
2020,4,Abril,26,PE,Northeast,female,15,15,0,0,0
2020,4,Abril,26,PE,Northeast,female,16,16,2,2,0
