year,uf_code,uf,region,variable_code,composition,first_below_15,first_below_16,second_below_15,second_below_16,both_below_15,both_below_16,total_marriages,marriages_at_least_one_below_15,affected_marriages_below_16,share_at_least_one_below_15,affected_share_below_16
2014,27,AL,Northeast,221,opposite_sex,1,2,25,66,0,0,17532,26,68,0.00148300250969656,0.00387862194843714
2014,28,SE,Northeast,all,all,1,2,4,15,1,2,8796,4,15,0.00045475216007276,0.00170532060027285
2014,28,SE,Northeast,4374,female_same_sex,0,0,0,0,0,0,6,0,0,0,0
2014,28,SE,Northeast,4373,male_same_sex,0,0,0,0,0,0,2,0,0,0,0
2014,28,SE,Northeast,221,opposite_sex,1,2,4,15,1,2,8788,4,15,0.000455166135639508,0.00170687300864816
2014,29,BA,Northeast,all,all,2,7,10,49,0,0,59594,12,56,0.000201362553277176,0.000939691915293486
2014,29,BA,Northeast,4374,female_same_sex,0,0,0,0,0,0,40,0,0,0,0
2014,29,BA,Northeast,4373,male_same_sex,0,0,0,0,0,0,94,0,0,0,0
2014,29,BA,Northeast,221,opposite_sex,2,7,10,49,0,0,59460,12,56,0.000201816347124117,0.000941809619912546
2014,31,MG,Southeast,all,all,3,12,12,65,2,3,118388,13,74,0.000109808426529716,0.000625063351015306
2014,31,MG,Southeast,4374,female_same_sex,0,0,0,0,0,0,168,0,0,0,0
2014,31,MG,Southeast,4373,male_same_sex,0,0,0,0,0,0,163,0,0,0,0
2014,31,MG,Southeast,221,opposite_sex,3,12,12,65,2,3,118057,13,74,0.000110116299753509,0.000626815860135358
2014,32,ES,Southeast,all,all,1,2,2,14,0,1,26282,3,15,0.000114146564188418,0.00057073282094209
2014,32,ES,Southeast,4374,female_same_sex,0,0,0,0,0,0,22,0,0,0,0
2014,32,ES,Southeast,4373,male_same_sex,0,0,0,0,0,0,41,0,0,0,0
2014,32,ES,Southeast,221,opposite_sex,1,2,2,14,0,1,26219,3,15,0.000114420839848965,0.000572104199244823
2014,33,RJ,Southeast,all,all,4,10,22,42,2,6,93804,24,46,0.000255852628885762,0.000490384205364377
2014,33,RJ,Southeast,4374,female_same_sex,0,0,0,0,0,0,260,0,0,0,0
2014,33,RJ,Southeast,4373,male_same_sex,0,0,0,0,0,0,241,0,0,0,0
2014,33,RJ,Southeast,221,opposite_sex,4,10,22,42,2,6,93303,24,46,0.000257226455740973,0.000493017373503532
2014,35,SP,Southeast,all,all,0,1,26,89,0,0,297477,26,90,8.74017150905784e-05,0.000302544398390464
2014,35,SP,Southeast,4374,female_same_sex,0,0,0,0,0,0,1152,0,0,0,0
2014,35,SP,Southeast,4373,male_same_sex,0,0,0,0,0,0,898,0,0,0,0
2014,35,SP,Southeast,221,opposite_sex,0,1,26,89,0,0,295427,26,90,8.80082050726576e-05,0.000304643786789968
2014,41,PR,South,all,all,9,23,130,278,4,12,64060,135,289,0.00210739931314393,0.00451139556665626
2014,41,PR,South,4374,female_same_sex,0,0,0,0,0,0,113,0,0,0,0
2014,41,PR,South,4373,male_same_sex,0,0,0,0,0,0,81,0,0,0,0
2014,41,PR,South,221,opposite_sex,9,23,130,278,4,12,63866,135,289,0.00211380077036295,0.00452509942692513
2014,42,SC,South,all,all,2,3,1,6,0,1,32422,3,8,9.25297637406699e-05,0.000246746036641786
2014,42,SC,South,4374,female_same_sex,0,0,0,0,0,0,137,0,0,0,0
2014,42,SC,South,4373,male_same_sex,0,0,0,0,0,0,205,0,0,0,0
2014,42,SC,South,221,opposite_sex,2,3,1,6,0,1,32080,3,8,9.35162094763092e-05,0.000249376558603491
2014,43,RS,South,all,all,0,1,0,18,0,0,41463,0,19,0,0.000458239876516412
2014,43,RS,South,4374,female_same_sex,0,0,0,0,0,0,106,0,0,0,0
2014,43,RS,South,4373,male_same_sex,0,0,0,0,0,0,106,0,0,0,0
2014,43,RS,South,221,opposite_sex,0,1,0,18,0,0,41251,0,19,0,0.00046059489466922
2014,50,MS,Central-West,all,all,3,12,34,87,3,4,15366,34,95,0.00221267733958089,0.00618248080177014
2014,50,MS,Central-West,4374,female_same_sex,0,0,0,0,0,0,19,0,0,0,0
2014,50,MS,Central-West,4373,male_same_sex,0,0,0,0,0,0,32,0,0,0,0
2014,50,MS,Central-West,221,opposite_sex,3,12,34,87,3,4,15315,34,95,0.00222004570682338,0.00620306888671237
2014,51,MT,Central-West,all,all,0,0,3,11,0,0,16107,3,11,0.000186254423542559,0.000682932886322717
2014,51,MT,Central-West,4374,female_same_sex,0,0,0,0,0,0,11,0,0,0,0
2014,51,MT,Central-West,4373,male_same_sex,0,0,0,0,0,0,12,0,0,0,0
2014,51,MT,Central-West,221,opposite_sex,0,0,3,11,0,0,16084,3,11,0.000186520765978612,0.000683909475254912
2014,52,GO,Central-West,all,all,0,0,9,26,0,0,43394,9,26,0.000207401944969351,0.000599161174355902
2014,52,GO,Central-West,4374,female_same_sex,0,0,0,0,0,0,58,0,0,0,0
2014,52,GO,Central-West,4373,male_same_sex,0,0,0,0,0,0,72,0,0,0,0
2014,52,GO,Central-West,221,opposite_sex,0,0,9,26,0,0,43264,9,26,0.000208025147928994,0.000600961538461539
2014,53,DF,Central-West,all,all,0,0,0,4,0,0,18508,0,4,0,0.000216122757726389
2014,53,DF,Central-West,4374,female_same_sex,0,0,0,0,0,0,61,0,0,0,0
2014,53,DF,Central-West,4373,male_same_sex,0,0,0,0,0,0,68,0,0,0,0
2014,53,DF,Central-West,221,opposite_sex,0,0,0,4,0,0,18379,0,4,0,0.00021763969748082
2015,11,RO,North,all,all,1,2,9,24,1,2,14892,9,24,0.000604351329572925,0.0016116035455278
2015,11,RO,North,4374,female_same_sex,0,0,0,0,0,0,11,0,0,0,0
2015,11,RO,North,4373,male_same_sex,0,0,0,0,0,0,7,0,0,0,0
2015,11,RO,North,221,opposite_sex,1,2,9,24,1,2,14874,9,24,0.000605082694634933,0.00161355385235982
2015,12,AC,North,all,all,0,1,1,2,0,0,5244,1,3,0.0001906941266209,0.0005720823798627
2015,12,AC,North,4374,female_same_sex,0,0,0,0,0,0,6,0,0,0,0
2015,12,AC,North,4373,male_same_sex,0,0,0,0,0,0,0,0,0,,
2015,12,AC,North,221,opposite_sex,0,1,1,2,0,0,5238,1,3,0.000190912562046583,0.000572737686139748
2015,13,AM,North,all,all,0,1,5,29,0,0,18380,5,30,0.000272034820457019,0.00163220892274211
2015,13,AM,North,4374,female_same_sex,0,0,0,0,0,0,54,0,0,0,0
2015,13,AM,North,4373,male_same_sex,0,0,0,0,0,0,44,0,0,0,0
2015,13,AM,North,221,opposite_sex,0,1,5,29,0,0,18282,5,30,0.000273493053276447,0.00164095831965868
2015,14,RR,North,all,all,0,0,0,1,0,0,2575,0,1,0,0.000388349514563107
2015,14,RR,North,4374,female_same_sex,0,0,0,0,0,0,6,0,0,0,0
2015,14,RR,North,4373,male_same_sex,0,0,0,0,0,0,1,0,0,0,0
2015,14,RR,North,221,opposite_sex,0,0,0,1,0,0,2568,0,1,0,0.000389408099688474
2015,15,PA,North,all,all,1,5,2,18,0,0,31874,3,23,9.41205998619565e-05,0.000721591265608333
