year,geography_level,geography_value,sex,population,population_se,population_cv,ci_lower,ci_upper,unweighted_n
2018,UF,13,combined,3864178.00000132,131563.868523142,0.0340470517981048,3606317.5560292,4122038.44397344,13050
2018,UF,13,female,1914480.65730765,65907.2780978305,0.03442566935647,1785304.76591684,2043656.54869846,6418
2018,UF,13,male,1949697.34269367,69205.5980575231,0.03549555951177,1814056.86297237,2085337.82241497,6632
2018,UF,14,combined,517081.99999994,21262.1810170099,0.0411195536046747,475408.890973829,558755.109026051,5098
2018,UF,14,female,253789.09545803,10656.7894753581,0.0419907303587062,232902.171895503,274676.019020557,2490
2018,UF,14,male,263292.90454191,11312.3537957476,0.0429649018283624,241121.09852187,285464.71056195,2608
2018,UF,15,combined,8292648.99999995,205504.49111424,0.0247815253140753,7889867.59875481,8695430.40124509,17193
2018,UF,15,female,4138209.31731007,102708.256392702,0.0248194928089005,3936904.83386547,4339513.80075467,8576
2018,UF,15,male,4154439.68268988,110782.224218714,0.0266659845081648,3937310.51309396,4371568.8522858,8617
2018,UF,16,combined,764749.00000011,46337.5172117989,0.060591798370174,673929.135131979,855568.864868241,3939
2018,UF,16,female,385346.06830899,22873.3784054488,0.0593580168232255,340515.070429554,430177.066188426,2012
2018,UF,16,male,379402.93169112,24756.606966716,0.06525149095809,330880.873656943,427924.989725297,1927
2018,UF,17,combined,1496701.99999972,50445.6889457194,0.0337045643994121,1397830.2664908,1595573.73350864,6588
2018,UF,17,female,728280.02533922,26544.9118366457,0.0364487709576842,676252.954166603,780307.096511837,3191
2018,UF,17,male,768421.9746605,26631.2220190154,0.0346570281657828,716225.73863894,820618.21068206,3397
2018,UF,21,combined,6876504.99999972,107803.686681252,0.0156771043838776,6665213.65670383,7087796.34329561,31264
2018,UF,21,female,3480536.09414879,55499.9453913787,0.0159458037181918,3371758.20003775,3589313.98825983,15747
2018,UF,21,male,3395968.90585093,57707.2031394527,0.0169928538038227,3282864.86604907,3509072.94565279,15517
2018,UF,22,combined,3302118.0000001,102507.363115199,0.0310429134013976,3101207.26014414,3503028.73985606,10945
2018,UF,22,female,1669580.85986638,54752.8216580238,0.0327943515490503,1562267.30136471,1776894.41836805,5583
2018,UF,22,male,1632537.14013372,52104.0352089334,0.0319159876538341,1530415.107675,1734659.17259244,5362
2018,UF,23,combined,8964821.99999898,200695.029937748,0.022386950899613,8571466.96944481,9358177.03055315,23168
2018,UF,23,female,4618326.119759,101524.71970332,0.0219830122582634,4419341.32559997,4817310.91391803,11951
2018,UF,23,male,4346495.88023998,107256.878506803,0.0246766318114815,4136276.26127246,4556715.4992075,11217
2018,UF,24,combined,3375512.00000311,125000.044838584,0.0370314325170429,3130516.41405359,3620507.58595263,9438
2018,UF,24,female,1735907.04631489,67639.6315645032,0.0389650077797043,1603335.80452091,1868478.28810887,4868
2018,UF,24,male,1639604.95368822,61372.2073034303,0.0374310940970117,1519317.63772177,1759892.26965467,4570
2018,UF,25,combined,3986049.00000104,115642.253082489,0.029011748998183,3759394.3488683,4212703.65113378,11934
2018,UF,25,female,2047877.03310338,57945.4814273715,0.0282953910272435,1934305.9764389,2161448.08976786,6182
2018,UF,25,male,1938171.96689766,62147.4197994198,0.0320649668145269,1816365.26235871,2059978.67143661,5752
2018,UF,26,combined,9291470.00000071,260501.979045975,0.0280366808530787,8780895.50316919,9802044.49683223,18336
2018,UF,26,female,4870374.63258472,148392.715769908,0.0304684396919083,4579530.25410761,5161219.01106183,9573
2018,UF,26,male,4421095.36741599,119197.516955587,0.0269610825032383,4187472.52713644,4654718.20769554,8763
2018,UF,27,combined,3192115.00000987,61000.5542111185,0.0191097608359755,3072556.1107191,3311673.88930065,17745
2018,UF,27,female,1640557.80137203,32620.7539984353,0.0198839406762468,1576622.29838656,1704493.3043575,9155
2018,UF,27,male,1551557.19863784,31740.6562957708,0.0204572904715578,1489346.65545246,1613767.74182322,8590
2018,UF,28,combined,2226725.00000077,56009.293607356,0.0251532154205556,2116948.80173082,2336501.19827072,8854
2018,UF,28,female,1158581.86861783,32226.3645575297,0.0278153537789912,1095419.35473241,1221744.38250325,4603
2018,UF,28,male,1068143.13138294,27320.1654824758,0.0255772514748131,1014596.59098561,1121689.67178027,4251
2018,UF,29,combined,14612153.0000012,281711.753266412,0.0192792775483798,14060008.1095774,15164297.890425,22935
2018,UF,29,female,7455677.57489367,152804.191621383,0.0204950106930506,7156186.862629,7755168.28715834,11710
2018,UF,29,male,7156475.42510749,143542.396563772,0.0200576943309515,6875137.49758793,7437813.35262705,11225
2018,UF,31,combined,20789545.0000039,300636.098570876,0.0144609272868078,20200309.0743524,21378780.9256555,33246
2018,UF,31,female,10604593.6382006,158072.77337992,0.0149060660665487,10294776.6954396,10914410.5809616,16882
2018,UF,31,male,10184951.3618033,160211.233007225,0.0157301912710222,9870943.11519041,10498959.6084162,16364
2018,UF,32,combined,3932615.99999959,98433.3374491235,0.0250299895665211,3739690.20372123,4125541.79627795,16591
2018,UF,32,female,2016300.98604244,53980.0401976757,0.0267718165945188,1910502.05137097,2122099.92071391,8564
2018,UF,32,male,1916315.01395715,47432.0645193767,0.0247517053166695,1823349.87578679,2009280.15212751,8027
2018,UF,33,combined,17148394.0000019,250554.000956545,0.0146109309686095,16657317.1819447,17639470.8180592,32675
2018,UF,33,female,8993445.00617869,135105.775661722,0.0150226943700552,8728642.55177837,9258247.46057901,17309
2018,UF,33,male,8154948.99382323,128502.564545123,0.015757617201831,7903088.59539376,8406809.39225271,15366
2018,UF,35,combined,45056831.0000009,801128.550335813,0.0177804016073789,43486647.8943559,46627014.1056459,34789
2018,UF,35,female,23248457.944765,429285.762835573,0.0184651284767142,22407073.3105315,24089842.5789986,17970
2018,UF,35,male,21808373.0552359,401364.533230941,0.0184041483614744,21021713.0254315,22595033.0850402,16819
2018,UF,41,combined,11359833.0000005,255156.127532336,0.0224612569156893,10859736.1796024,11859929.8203985,23921
2018,UF,41,female,5741763.24661684,130017.877348,0.0226442421541168,5486932.88966841,5996593.60356527,12157
2018,UF,41,male,5618069.75338362,133359.124441526,0.0237375344727977,5356690.67246843,5879448.83429881,11764
2018,UF,42,combined,7253429.99999855,114876.485486433,0.0158375396862526,7028276.2257746,7478583.7742225,26926
2018,UF,42,female,3664858.34578567,60592.8211361429,0.0165334688053688,3546098.59863715,3783618.09293419,13707
2018,UF,42,male,3588571.65421288,59765.7593328838,0.0166544701044831,3471432.91841174,3705710.39001402,13219
2018,UF,43,combined,11150219.9999998,238442.41544607,0.0213845480578924,10682881.4533388,11617558.5466609,23046
2018,UF,43,female,5674385.96545721,123791.617501256,0.0218158613557197,5431758.85356679,5917013.07734763,11837
2018,UF,43,male,5475834.03454263,125813.043943578,0.0229760513466852,5229244.99962786,5722423.0694574,11209
2018,UF,50,combined,2676996.00000009,63157.773643395,0.023592778488796,2553209.0383153,2800782.96168488,9859
2018,UF,50,female,1343213.62003505,34238.5529703234,0.0254900281382123,1276107.28933045,1410319.95073965,4964
2018,UF,50,male,1333782.37996504,33317.6928064234,0.0249798567644121,1268480.90201648,1399083.8579136,4895
2018,UF,51,combined,3443248.00000119,94405.9382193769,0.0274176992825798,3258215.7611645,3628280.23883788,11337
2018,UF,51,female,1715457.15318086,49301.0677146057,0.0287393174601825,1618828.83606086,1812085.47030086,5678
2018,UF,51,male,1727790.84682033,49606.8991479858,0.0287111714009123,1630563.11110557,1825018.58253509,5659
2018,UF,52,combined,6888060.00000506,152833.882235294,0.0221882332957584,6588511.09520645,7187608.90480367,15275
2018,UF,52,female,3462264.6908936,77809.443538833,0.0224735687434546,3309760.98390039,3614768.39788682,7752
2018,UF,52,male,3425795.30911146,82724.066422882,0.0241474048968612,3263659.11826791,3587931.49995501,7523
2018,UF,53,combined,2875413.00000001,101621.345983371,0.0353414782444715,2676238.82181212,3074587.1781879,7980
2018,UF,53,female,1475122.03055593,50965.8037079188,0.0345502288300252,1375230.89084527,1575013.17026659,4164
2018,UF,53,male,1400290.96944408,54735.0113114909,0.0390883127191921,1293012.31858017,1507569.62030799,3816
2019,UF,11,combined,1700234.00000145,116971.67469264,0.0687973977067512,1470973.73039254,1929494.26961036,7509
2019,UF,11,female,855125.41186844,60400.8274932604,0.0706338820656554,736741.965345233,973508.858391647,3792
2019,UF,11,male,845108.58813301,57441.2827424387,0.0679691149149677,732525.742732048,957691.433533972,3717
2019,UF,12,combined,838533.99999914,25409.918324319,0.0303027883476938,788731.475233371,888336.52476491,8474
2019,UF,12,female,426845.80129527,13146.8435431176,0.0307999832801994,401078.461440377,452613.141150164,4331
2019,UF,12,male,411688.19870387,13510.0714158576,0.032816270804924,385208.945300225,438167.452107515,4143
2019,UF,13,combined,3916952.00000106,128001.532003034,0.032678861523705,3666073.60730916,4167830.39269296,13081
2019,UF,13,female,1954746.98185869,61516.1100329231,0.0314701138325483,1834177.62172516,2075316.34199222,6472
2019,UF,13,male,1962205.01814237,71276.7829243423,0.0363248397926433,1822505.09067678,2101904.94560796,6609
2019,UF,14,combined,543109.00000048,26974.6226543218,0.0496670514653558,490239.711101451,595978.288899509,5395
2019,UF,14,female,269283.51526764,13815.789461772,0.0513057379247317,242205.065504579,296361.965030701,2666
2019,UF,14,male,273825.48473284,13975.1234653199,0.0510366063222888,246434.746061313,301216.223404367,2729
2019,UF,15,combined,8356580.00000287,199249.395177361,0.0238434138340437,7966058.36151385,8747101.63849189,16439
2019,UF,15,female,4213834.38996046,106669.137434764,0.025314031725809,4004766.72232637,4422902.05759455,8241
2019,UF,15,male,4142745.61004241,101444.10000254,0.0244871661336458,3943918.82759335,4341572.39249147,8198
2019,UF,16,combined,771291.00000041,64389.6203532626,0.0834829141701749,645089.663129808,897492.336871012,3928
2019,UF,16,female,403161.00182979,37435.7650706427,0.0928556207091867,329788.250557628,476533.753101952,2031
2019,UF,16,male,368129.99817062,28040.8399825991,0.0761710268707924,313170.961708475,423089.034632765,1897
2019,UF,17,combined,1509779.0000006,48951.3268922416,0.0324228426095621,1413836.16229636,1605721.83770484,6617
2019,UF,17,female,753503.16253844,25009.2792683785,0.0331906759145191,704485.875893114,802520.449183766,3266
