year,quarter,geography_value,age,sex,persons_married,opposite_sex_people,same_sex_people,population,population_se,population_cv,unweighted_n,precision_pass,geography_level,geography,formal_marriage_rate_100k,offset_log_population,fixed_denominator_simplification,period,period_index,trend_2018q4,calendar_quarter,treated_age,partial_2019q1,post_full,pandemic,short_run_clean,full_dynamic,exclude_pandemic,post_pandemic,event_time,denominator_only_rate_se,denominator_only_ci_lower,denominator_only_ci_upper
2017,2,Brazil,19,female,8403,8392,11,1675198.9703069,34857.7965700898,0.0208081530540242,4535,TRUE,Brazil,Brazil,501.612056176261,14.3314425044295,TRUE,2017Q2,18,-6,2,0,0,0,0,1,1,1,0,-7,10.4376204386595,481.154696032189,522.069416320333
2017,2,Brazil,15,male,6,6,0,1655720.0138068,37485.3649970959,0.0226399177907564,4939,TRUE,Brazil,Brazil,0.362380109557588,14.3197465258446,TRUE,2017Q2,18,-6,2,1,0,0,0,1,1,1,0,-7,0.00820425588938907,0.346300063494435,0.378460155620741
2017,2,Brazil,16,male,128,127,1,1724126.24550629,35119.8618855892,0.0203696579511648,5230,TRUE,Brazil,Brazil,7.42405031729059,14.3602309557766,TRUE,2017Q2,18,-6,2,0,0,0,0,1,1,1,0,-7,0.151225365575446,7.12765404721381,7.72044658736737
2017,2,Brazil,17,male,449,447,2,1751859.49833416,33818.0931389726,0.0193041126706395,5232,TRUE,Brazil,Brazil,25.6299092722306,14.3761883522479,TRUE,2017Q2,18,-6,2,0,0,0,0,1,1,1,0,-7,0.494762656329407,24.6601922849296,26.5996262595316
2017,2,Brazil,18,male,1760,1756,4,1731298.26850975,35114.9679572046,0.0202824484930783,5078,TRUE,Brazil,Brazil,101.657815525626,14.3643821292568,TRUE,2017Q2,18,-6,2,0,0,0,0,1,1,1,0,-7,2.06186940731736,97.616625746459,105.699005304793
2017,2,Brazil,19,male,3371,3361,10,1627096.43870135,35993.1208985326,0.0221210741062528,4833,TRUE,Brazil,Brazil,207.178869046664,14.3023076583851,TRUE,2017Q2,18,-6,2,0,0,0,0,1,1,1,0,-7,4.5830191154309,198.196316639961,216.161421453367
2017,3,Brazil,15,combined,70,70,0,3257370.06115559,49210.9226161468,0.015107562755301,9471,TRUE,Brazil,Brazil,2.14897290408467,14.9964306980545,TRUE,2017Q3,19,-5,3,1,0,0,0,1,1,1,0,-6,0.0324657430079006,2.08534121705785,2.21260459111149
2017,3,Brazil,16,combined,2958,2957,1,3285058.67938397,54375.2798615899,0.0165523009384376,9753,TRUE,Brazil,Brazil,90.0440536591784,15.0048950725675,TRUE,2017Q3,19,-5,3,0,0,0,0,1,1,1,0,-6,1.49043627388355,87.1228522411146,92.9652550772422
2017,3,Brazil,17,combined,4300,4297,3,3458346.42474746,50680.9325114968,0.0146546719983952,10101,TRUE,Brazil,Brazil,124.336878724172,15.0563011208749,TRUE,2017Q3,19,-5,3,0,0,0,0,1,1,1,0,-6,1.82211617500699,120.76559664551,127.908160802834
2017,3,Brazil,18,combined,9937,9927,10,3399722.76712625,50867.4823688813,0.0149622442337788,9686,TRUE,Brazil,Brazil,292.288538821053,15.0392044471814,TRUE,2017Q3,19,-5,3,0,0,0,0,1,1,1,0,-6,4.37329250457494,283.717043018227,300.860034623879
