year,quarter,period,trend_2018q4,post_full,partial_2019q1,pandemic,prevalence15,se15,population15,unweighted_n15,cases15,control_prevalence,control_variance_independence,control_population,control_unweighted_n,control_cases,prevalence_gap,gap_design_se_independence,quarter_factor,counterfactual_gap,dynamic_effect,bootstrap_se,pointwise_ci_lower,pointwise_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper
2021,1,2021Q1,9,1,0,1,0.0032140215853176,0.000922542968091281,3163736.02393999,5053,19,0.0418207820022946,7.96837947648727e-06,9251288.863731,14349,537,-0.038606760416977,0.00296975840843358,1,-0.0543929488326336,0.0157861884156565,0.0058039569960012,0.00483458570925043,0.0273701675434567,-0.00282213868622236,0.0343945155175354
2021,2,2021Q2,10,1,0,1,0.00685733776547095,0.00191635578928269,3068509.14069345,5450,29,0.0465664652688851,6.97048837264404e-06,9403285.77269085,16135,675,-0.0397091275034142,0.00326234699009185,2,-0.0548645884194247,0.0151554609160105,0.00592851081651232,0.00404445190900124,0.0269679214845454,-0.00385220378183205,0.0341631256138531
2021,3,2021Q3,11,1,0,1,0.00510217944829035,0.00143104326028469,3085295.62228839,6662,34,0.0544250089933022,5.69770833907017e-06,9293596.72412782,19838,1018,-0.0493228295450118,0.00278309057557896,3,-0.0543664183993824,0.00504358885437057,0.00544956590118729,-0.0059124685875158,0.0155558478066722,-0.0124285090475274,0.0225156867562685
2021,4,2021Q4,12,1,0,1,0.00437979917993575,0.000814459931746337,3049546.61735562,7053,44,0.0586666946255212,5.47479293357357e-06,9293829.27394243,21137,1186,-0.0542868954455855,0.00247752657180379,4,-0.0535766136315092,-0.000710281814076313,0.00551514985014966,-0.0112655959611424,0.00972889792829931,-0.0183926513592283,0.0169720877310757
2022,1,2022Q1,13,1,0,0,0.00520859383396809,0.00112342256589197,3115679.51077051,7284,41,0.0559423222152312,4.8634331197289e-06,9246020.33149711,21521,1173,-0.0507337283812631,0.00247497704661765,1,-0.0530412183710094,0.00230748998974623,0.00590397313889744,-0.00931779912318261,0.014219869027367,-0.0166215033582409,0.0212364833377334
2022,2,2022Q2,14,1,0,0,0.00477295954837545,0.000912995902971521,3043215.10473598,7352,45,0.0588465475794054,5.25199140351699e-06,9185770.22926028,21672,1204,-0.0540735880310299,0.00246689134790322,2,-0.0535128579578005,-0.000560730073229425,0.00589879088224155,-0.0121212947997059,0.0108517975161683,-0.0194731083554873,0.0183516482090284
2022,3,2022Q3,15,1,0,0,0.00434617545570398,0.000913298642210214,2951794.24921123,7297,41,0.0635826683594361,6.43888524723597e-06,9147481.82316689,21651,1230,-0.0592364929037321,0.00269684995079426,3,-0.0530146879377582,-0.00622180496597399,0.00614219444538891,-0.0186150268902991,0.00579749266092635,-0.0259145703399917,0.0134709604080438
2022,4,2022Q4,16,1,0,0,0.00648528867200238,0.00141753043472431,2982443.25377239,7090,41,0.0630419224950573,6.2082922951151e-06,9101612.89918475,21083,1208,-0.0565566338230549,0.00286665045453484,4,-0.0522248831698849,-0.00433175065317001,0.00613724128560867,-0.016795587712886,0.00759370222356578,-0.0240086354792371,0.0153451341728971
2023,1,2023Q1,17,1,0,0,0.00728712621144555,0.00143892339284855,3015015.84099113,7018,48,0.0644974200699095,6.57323808623869e-06,9072209.60686129,20679,1196,-0.057210293858464,0.00294002357417853,1,-0.0516894879093851,-0.00552080594907884,0.00656154220963825,-0.018072997716722,0.00706444861842225,-0.0265580610172776,0.0155164491191199
2023,2,2023Q2,18,1,0,0,0.00678369349876028,0.00143170490436939,3014227.87188525,6965,49,0.0560760315515814,5.74707452946582e-06,9029997.11190707,20453,1102,-0.0492923380528211,0.00279228463138363,2,-0.0521611274961763,0.00286878944335511,0.00663090304796394,-0.0102898134389582,0.0155457289480374,-0.0183908465226542,0.0241284254093644
2023,3,2023Q3,19,1,0,0,0.00520545342728647,0.00107306057457442,2986968.81019359,6850,41,0.0592785213129341,5.9940886838614e-06,9040533.74015756,20595,1152,-0.0540730678856476,0.00267311572524786,3,-0.0516629574761339,-0.00241011040951371,0.00664254209537639,-0.0156808328251427,0.0105495066461696,-0.0237070628479839,0.0188868420289565
2023,4,2023Q4,20,1,0,0,0.00595324504806223,0.00116415214849014,3001521.03469456,6929,47,0.0567105669605996,5.49452504991964e-06,9057464.4787427,20440,1134,-0.0507573219125373,0.0026172075337569,4,-0.0508731527082607,0.000115830795723366,0.00640289342962876,-0.013151833597926,0.0123846741244004,-0.0204127732961217,0.0206444348875684
2024,1,2024Q1,21,1,0,0,0.00573164939646057,0.00119351187064625,2981730.51206231,6997,42,0.0591812998229712,5.82295765075926e-06,9019216.45961125,20769,1207,-0.0534496504265106,0.00269210479664755,1,-0.0503377574477609,-0.00311189297874973,0.00717191494956769,-0.0167355318322702,0.0110054779869358,-0.0261060914919985,0.0198823055344991
2024,2,2024Q2,22,1,0,0,0.00655665810142181,0.00132783265628216,3034095.99608619,6916,45,0.0573995753083783,6.19940840316898e-06,8898125.19856447,20444,1184,-0.0508429172069565,0.00282179871115186,2,-0.050809397034552,-3.35201724044817e-05,0.00704587985893209,-0.014469122288248,0.0130302787373427,-0.0226236319230398,0.0225565915782308
2024,3,2024Q3,23,1,0,0,0.00341620871712825,0.000688277457260095,2994400.62114799,6759,32,0.0552520761028005,5.80506041161635e-06,8895845.32417593,20527,1146,-0.0518358673856722,0.00250575063998571,3,-0.0503112270145097,-0.00152464037116252,0.00682140242402596,-0.0151854864061334,0.0117564575963416,-0.0233950449395079,0.0203457641971828
2024,4,2024Q4,24,1,0,0,0.00392922256815786,0.00090850068085673,2945956.01802136,6546,28,0.0565949569479161,5.46831569229839e-06,8760357.79394432,19800,1124,-0.0526657343797583,0.00250872261906643,4,-0.0495214222466365,-0.00314431213312178,0.007142843203067,-0.0171212300508848,0.0104045453408486,-0.0260453024146969,0.0197566781484533
