year,quarter,period,trend_2018q4,focal_rate,control_count,control_population,control_rate,gap,quarter_factor,predicted,focal_age,controls,event_time,dynamic_log_effect,bootstrap_se,simultaneous_ci_lower,simultaneous_ci_upper,simultaneous_critical_value,bootstrap_replications,block_length
2018,1,2018Q1,-3,79.2709819175432,19678,6762823.13687969,290.973157240946,-1.30035888598555,1,-1.3381821995737,16,18-19,-4,0.0378233135881472,0.0260237928612234,-0.0367559113412602,0.112402538517555,2.86580919726478,999,4
2018,2,2018Q2,-2,79.799318451618,20192,6758012.51114129,298.786070116197,-1.32021286903549,2,-1.35646000802983,16,18-19,-3,0.0362471389943437,0.0256304967338037,-0.0372049742758558,0.109699252264543,2.86580919726478,999,4
2018,3,2018Q3,-1,80.0520655372763,20841,6798177.87953277,306.567441589692,-1.34276052678567,3,-1.36962709456795,16,18-19,-2,0.0268665677822848,0.025962856646679,-0.0475380255830347,0.101271161147604,2.86580919726478,999,4
2018,4,2018Q4,0,93.8886316079199,26281,6783809.46472311,387.407696761906,-1.41736830876754,4,-1.42214030455792,16,18-19,-1,0.00477199579038046,0.0266578368559544,-0.0716242782505975,0.0811682698313584,2.86580919726478,999,4
2019,2,2019Q2,2,66.1037367236327,18516,6707868.07540582,276.034051234375,-1.42929895551384,2,-1.41453830093432,16,18-19,0,-0.0147606545795267,0.043743798567467,-0.140122034837471,0.110600725678418,2.86580919726478,999,4
2019,3,2019Q3,3,67.7984610267721,19169,6589446.53306836,290.904553270182,-1.45645572176549,3,-1.42770538747244,16,18-19,1,-0.0287503342930535,0.0423913841248825,-0.150235952802926,0.0927352842168186,2.86580919726478,999,4
2019,4,2019Q4,4,80.4419252676652,22885,6564823.19546223,348.600401238813,-1.46639078526016,4,-1.4802185974624,16,18-19,2,0.0138278122022399,0.043247146670196,-0.110110258480667,0.137765882885146,2.86580919726478,999,4
2020,1,2020Q1,5,53.3736571612744,15069,6513865.16764983,231.337303001573,-1.46655951897929,1,-1.45433878538266,16,18-19,3,-0.0122207335966271,0.0475739838180194,-0.148558693972833,0.124117226779578,2.86580919726478,999,4
2020,2,2020Q2,6,30.6707185635247,9006,6420633.90388984,140.266524066165,-1.52023594939194,2,-1.4726165938388,16,18-19,4,-0.0476193555531415,0.0472387057572545,-0.182996472979166,0.087757761872883,2.86580919726478,999,4
2020,3,2020Q3,7,51.492635460274,15444,6333264.14733229,243.855295479904,-1.55513620138412,3,-1.48578368037692,16,18-19,5,-0.0693525210071992,0.0459861900721423,-0.201140167463111,0.0624351254487121,2.86580919726478,999,4
2020,4,2020Q4,8,74.9709813960831,21999,6131627.05900474,358.779159076429,-1.56560591947977,4,-1.53829689036689,16,18-19,6,-0.0273090291128784,0.0475645217925488,-0.163619873129465,0.109001814903709,2.86580919726478,999,4
2021,1,2021Q1,9,50.8981019383743,15107,6152272.68983398,245.551534556698,-1.57368120908414,1,-1.51241707828715,16,18-19,7,-0.0612641307969941,0.0494615843142958,-0.20301159403619,0.0804833324422019,2.86580919726478,999,4
2021,2,2021Q2,10,51.4791734628231,14363,6273523.9677664,228.946283999195,-1.49231008125151,2,-1.53069488674328,16,18-19,8,0.0383848054917717,0.0506528621979984,-0.106776632863037,0.183546243846581,2.86580919726478,999,4
2021,3,2021Q3,11,58.682012833779,15960,6250157.37832743,255.353570061159,-1.47051587948879,3,-1.5438619732814,16,18-19,9,0.0733460937926178,0.0509881609386479,-0.0727762467769759,0.219468434362212,2.86580919726478,999,4
2021,4,2021Q4,12,69.6131076495594,19650,6225941.34204908,315.614923437952,-1.51156999587175,4,-1.59637518327137,16,18-19,10,0.0848051873996189,0.050754659243267,-0.0606479818637754,0.230258356663013,2.86580919726478,999,4
2022,1,2022Q1,13,46.1208003212637,13469,6179551.34030737,217.960807480403,-1.55305121615645,1,-1.57049537119163,16,18-19,11,0.0174441550351774,0.055999443987765,-0.143039566586673,0.177927876657028,2.86580919726478,999,4
2022,2,2022Q2,14,44.9824027671744,13914,6138842.12104659,226.655120389834,-1.61715820507584,2,-1.58877317964777,16,18-19,12,-0.0283850254280722,0.0559263789255965,-0.188659356522761,0.131889305666617,2.86580919726478,999,4
2022,3,2022Q3,15,50.3467209955194,14997,6067667.13897062,247.162536383699,-1.59111266942869,3,-1.60194026618589,16,18-19,13,0.0108275967571971,0.056335197292745,-0.150618329774077,0.172273523288471,2.86580919726478,999,4
2022,4,2022Q4,16,54.4821034523528,17494,6003162.16511967,291.413083951752,-1.67686952234737,4,-1.65445347617585,16,18-19,14,-0.0224160461715202,0.0557933659991637,-0.182309187598283,0.137477095255243,2.86580919726478,999,4
2023,1,2023Q1,17,41.567500043413,13005,5960236.35577176,218.196044984126,-1.65807533461229,1,-1.62857366409611,16,18-19,15,-0.0295016705161717,0.0603586494273313,-0.202478043179498,0.143474702147155,2.86580919726478,999,4
2023,2,2023Q2,18,40.795455412396,13486,5950968.82182988,226.618562519256,-1.7146975745445,2,-1.64685147255225,16,18-19,16,-0.0678461019922532,0.0618333987775526,-0.245048824907104,0.109356620922597,2.86580919726478,999,4
