year,month,period,trend_2019m02,post_april_2019,partial_march_2019,rate15,control_count,control_population,control_rate,log_rate_gap,month_factor,counterfactual_gap,dynamic_log_effect
2019,11,2019M11,9,1,0,1.05616047133985,8551,9705545.86700344,88.104266541786,-4.42388082493147,11,-4.75211881004242,0.328237985110945
2019,12,2019M12,10,1,0,0.640097255357485,10805,9705545.86700344,111.328101974506,-5.15861686762899,12,-4.92981773249442,-0.228799135134576
2020,1,2020M01,11,1,0,0.434816910579402,6969,9720194.34696287,71.6960973334603,-5.10526654734298,1,-4.93766140323267,-0.167605144110309
2020,2,2020M02,12,1,0,0.535159274559264,5732,9720194.34696287,58.9700143371207,-4.70221995007428,2,-4.87764165997135,0.17542170989707
2020,3,2020M03,13,1,0,0.301027091939586,4878,9720194.34696287,50.1841817753794,-5.11625488480565,3,-5.0204259862795,-0.0958288985261477
2020,4,2020M04,14,1,0,0.432004026748705,2446,9595357.98848279,25.4914928962099,-4.07766515419412,4,-4.90696463025601,0.82929947606189
2020,5,2020M05,15,1,0,0.299079710826027,3694,9595357.98848279,38.4977819945214,-4.85764577883151,5,-4.98067580612778,0.123030027296278
2020,6,2020M06,16,1,0,0.166155394903348,4251,9595357.98848279,44.3026722411236,-5.58587681133323,6,-4.77709900837239,-0.808777802960838
2020,7,2020M07,17,1,0,0.347306312711769,5881,9410119.60582744,62.496548889326,-5.19265948030597,7,-5.03386854808497,-0.158790932220998
2020,8,2020M08,18,1,0,0.410452915023,5324,9410119.60582744,56.5773892682829,-4.92610348069785,8,-4.66628942755962,-0.259814053138224
2020,9,2020M09,19,1,0,0.347306312711769,6763,9410119.60582744,71.8694371941017,-5.33239924342095,9,-4.95159281790444,-0.380806425516508
2020,10,2020M10,20,1,0,0.508304769986078,7486,9286046.69411385,80.615575675978,-5.06636594782187,10,-4.80280731265799,-0.263558635163883
2020,11,2020M11,21,1,0,0.508304769986078,7672,9286046.69411385,82.6185808958192,-5.09090867592077,11,-4.87166660287294,-0.219242073047828
