year,uf,sex,age_group,persons_married
2003,GO,female,40-44,864
2003,GO,female,45-49,510
2003,GO,female,50-54,339
2003,GO,female,55-59,169
2003,GO,female,60-64,98
2003,GO,female,65+,93
2003,GO,female,<15,46
2003,GO,female,unknown,0
2003,GO,male,15,4
2003,GO,male,16,26
2003,GO,male,17,107
2003,GO,male,18,504
2003,GO,male,19,834
2003,GO,male,20-24,8507
2003,GO,male,25-29,7458
2003,GO,male,30-34,3785
2003,GO,male,35-39,2032
2003,GO,male,40-44,1144
2003,GO,male,45-49,727
2003,GO,male,50-54,483
2003,GO,male,55-59,335
2003,GO,male,60-64,246
2003,GO,male,65+,428
2003,GO,male,<15,3
2003,GO,male,unknown,0
2003,MA,female,15,174
2003,MA,female,16,897
2003,MA,female,17,939
2003,MA,female,18,1121
2003,MA,female,19,1121
2003,MA,female,20-24,4608
2003,MA,female,25-29,2548
2003,MA,female,30-34,1440
2003,MA,female,35-39,808
2003,MA,female,40-44,514
2003,MA,female,45-49,362
2003,MA,female,50-54,259
2003,MA,female,55-59,173
2003,MA,female,60-64,111
2003,MA,female,65+,134
2003,MA,female,<15,117
2003,MA,female,unknown,0
2003,MA,male,15,9
2003,MA,male,16,38
2003,MA,male,17,120
2003,MA,male,18,405
2003,MA,male,19,664
2003,MA,male,20-24,5033
2003,MA,male,25-29,3538
2003,MA,male,30-34,1961
2003,MA,male,35-39,1082
2003,MA,male,40-44,715
2003,MA,male,45-49,442
2003,MA,male,50-54,317
2003,MA,male,55-59,253
2003,MA,male,60-64,236
2003,MA,male,65+,510
2003,MA,male,<15,3
2003,MA,male,unknown,0
2003,MG,female,15,224
2003,MG,female,16,3516
2003,MG,female,17,4330
2003,MG,female,18,5285
2003,MG,female,19,6197
2003,MG,female,20-24,31313
2003,MG,female,25-29,19555
2003,MG,female,30-34,9061
2003,MG,female,35-39,4541
2003,MG,female,40-44,2265
2003,MG,female,45-49,1337
2003,MG,female,50-54,754
2003,MG,female,55-59,438
2003,MG,female,60-64,287
2003,MG,female,65+,263
2003,MG,female,<15,67
2003,MG,female,unknown,7
2003,MG,male,15,12
2003,MG,male,16,60
2003,MG,male,17,232
2003,MG,male,18,1115
2003,MG,male,19,2305
2003,MG,male,20-24,28376
2003,MG,male,25-29,27083
2003,MG,male,30-34,14264
2003,MG,male,35-39,6894
2003,MG,male,40-44,3364
2003,MG,male,45-49,1879
2003,MG,male,50-54,1176
2003,MG,male,55-59,767
2003,MG,male,60-64,642
2003,MG,male,65+,1261
2003,MG,male,<15,3
2003,MG,male,unknown,7
2003,MS,female,15,10
2003,MS,female,16,401
2003,MS,female,17,453
2003,MS,female,18,474
2003,MS,female,19,566
2003,MS,female,20-24,2923
2003,MS,female,25-29,1801
2003,MS,female,30-34,921
2003,MS,female,35-39,527
2003,MS,female,40-44,291
2003,MS,female,45-49,189
2003,MS,female,50-54,98
2003,MS,female,55-59,73
2003,MS,female,60-64,38
2003,MS,female,65+,22
2003,MS,female,<15,6
2003,MS,female,unknown,0
2003,MS,male,15,2
2003,MS,male,16,9
2003,MS,male,17,32
2003,MS,male,18,137
2003,MS,male,19,267
2003,MS,male,20-24,2792
2003,MS,male,25-29,2293
2003,MS,male,30-34,1372
2003,MS,male,35-39,720
2003,MS,male,40-44,394
2003,MS,male,45-49,271
2003,MS,male,50-54,180
2003,MS,male,55-59,113
2003,MS,male,60-64,79
2003,MS,male,65+,132
2003,MS,male,<15,0
2003,MS,male,unknown,0
2003,MT,female,15,21
2003,MT,female,16,603
2003,MT,female,17,651
2003,MT,female,18,693
2003,MT,female,19,714
2003,MT,female,20-24,3271
2003,MT,female,25-29,2007
2003,MT,female,30-34,1067
2003,MT,female,35-39,539
2003,MT,female,40-44,305
2003,MT,female,45-49,188
2003,MT,female,50-54,102
2003,MT,female,55-59,63
2003,MT,female,60-64,35
2003,MT,female,65+,31
2003,MT,female,<15,11
2003,MT,female,unknown,9
2003,MT,male,15,1
2003,MT,male,16,13
2003,MT,male,17,37
2003,MT,male,18,184
2003,MT,male,19,322
