path,sheet,row_number,row_text
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,70,27 | Região Metropolitana de Maceió (AL)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,71,28 | Região Metropolitana de Aracaju (SE)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,72,29 | Região Metropolitana de Salvador (BA)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,73,31 | Região Metropolitana de Belo Horizonte (MG)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,74,32 | Região Metropolitana de Grande Vitória (ES)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,75,33 | Região Metropolitana de Rio de Janeiro (RJ)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,76,35 | Região Metropolitana de São Paulo (SP)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,77,41 | Região Metropolitana de Curitiba (PR)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,78,42 | Região Metropolitana de Florianópolis (SC)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,79,43 | Região Metropolitana de Porto Alegre (RS)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,80,51 | Região Metropolitana de Vale do Rio Cuiabá (MT)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,81,52 | Região Metropolitana de Goiânia (GO)
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,82,12 | 9 | UPA | Unidade Primária de Amostragem (UPA) | UF (2) + Número Sequencial (6) + DV (1) | 1º tri/2022 - 4º tri/2022
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,83,21 | 7 | Estrato | As 2 primeiras posições representam o código da Unidade da Federação | 1º tri/2022 - 4º tri/2022
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,84,28 | 2 | V1008 | Número de seleção do domicílio | 01 a 14 | Número do domicílio | 1º tri/2022 - 4º tri/2022
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,85,30 | 2 | V1014 | Painel | 01 a 99 | Grupo de amostra | 1º tri/2022 - 4º tri/2022
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,86,32 | 1 | V1022 | Situação do domicílio | 1 | Urbana | 1º tri/2022 - 4º tri/2022
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,dicionário pnad contínua ,87,2 | Rural
