year,query_type,relative_path,official_url,size_bytes,rows,zero_symbols,missing_symbols,sha256,status,acquired_this_run,acquired_or_checked_at
2017,second_age_monthly,Darcio/data/raw_external/sidra_4406_second_age_monthly_2017.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2017/c667/33008,33009,33010,33011,33012/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1635024,4860,3327,0,ecb4a6edf418867da9b9bd693f6875fc259117f146d41b646cc9b87c2b19a9d0,used,FALSE,2026-09-02T02:44:07-0300
2018,second_age_monthly,Darcio/data/raw_external/sidra_4406_second_age_monthly_2018.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2018/c667/33008,33009,33010,33011,33012/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1634989,4860,3328,0,84d767887a4d428713f8fd85be9fd93567fdaaba8cdbf5f74579384121849517,used,FALSE,2026-09-02T02:44:08-0300
2019,second_age_monthly,Darcio/data/raw_external/sidra_4406_second_age_monthly_2019.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2019/c667/33008,33009,33010,33011,33012/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1634924,4860,3375,0,07917edf88fcfc67ef6cf1c2d7f3913d380ac78bfc79a982931336ca0008e77b,used,FALSE,2026-09-02T02:44:08-0300
2020,second_age_monthly,Darcio/data/raw_external/sidra_4406_second_age_monthly_2020.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2020/c667/33008,33009,33010,33011,33012/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1634741,4860,3446,0,24cb018fb4c041270e444d64e9a2718ed9ce070bb6cbd7fb5cad5b9894726fee,used,FALSE,2026-09-02T02:44:08-0300
2021,second_age_monthly,Darcio/data/raw_external/sidra_4406_second_age_monthly_2021.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2021/c667/33008,33009,33010,33011,33012/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1634810,4860,837,0,6c3b609840dd10f8e57aaebc2716d6c9a2633279e9025ddc13f5685fbb82649d,used,FALSE,2026-09-02T02:44:08-0300
2022,second_age_monthly,Darcio/data/raw_external/sidra_4406_second_age_monthly_2022.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2022/c667/33008,33009,33010,33011,33012/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1634777,4860,3391,0,6c01c65de7378b3663adba829b26778d5797a8030572bebd551f0dc2a0163347,used,FALSE,2026-09-02T02:44:08-0300
2023,second_age_monthly,Darcio/data/raw_external/sidra_4406_second_age_monthly_2023.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2023/c667/33008,33009,33010,33011,33012/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1634728,4860,3458,0,89da7a6d2c5de7882bbc8c6f51e3c103915269bec79c831b0536f346f4bee2c1,used,FALSE,2026-09-02T02:44:08-0300
2024,second_age_monthly,Darcio/data/raw_external/sidra_4406_second_age_monthly_2024.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2024/c667/33008,33009,33010,33011,33012/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1634704,4860,3407,0,48b0c8460ca0a0bd5d099de7b02dc7b8c5e5f88f2fe03e8fe6fcb865e7868a27,used,FALSE,2026-09-02T02:44:09-0300
2013,total_annual,Darcio/data/raw_external/sidra_4406_total_annual_2013.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2013?formato=json",27243,81,3,0,6742398fd31a31dc00a2b97a78d9e4c343af0fecf898447d397941664a75cc11,used,FALSE,2026-09-02T02:44:07-0300
2014,total_annual,Darcio/data/raw_external/sidra_4406_total_annual_2014.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2014?formato=json",27255,81,0,0,016c184964f790704455c8166bc42ce48ac3bf4a76086a8f1c77deaf68c03976,used,FALSE,2026-09-02T02:44:07-0300
2015,total_annual,Darcio/data/raw_external/sidra_4406_total_annual_2015.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2015?formato=json",27257,81,1,0,d77dc2c24b2564c16d8c628dfe3b9a5faf4ec254ec90465205fb8dde4595662d,used,FALSE,2026-09-02T02:44:07-0300
2016,total_annual,Darcio/data/raw_external/sidra_4406_total_annual_2016.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2016?formato=json",27255,81,1,0,fdf0b9614296abdcb7ca050b6e447c295be186513e6c96096bc59f8df8649131,used,FALSE,2026-09-02T02:44:07-0300
2017,total_annual,Darcio/data/raw_external/sidra_4406_total_annual_2017.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2017?formato=json",27259,81,0,0,2cce44a7905dc3ff6bade46a4a33dcc9b9629fd814ff4f1fe2248bcbb11266aa,used,FALSE,2026-09-02T02:44:07-0300
2018,total_annual,Darcio/data/raw_external/sidra_4406_total_annual_2018.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2018?formato=json",27270,81,0,0,41805fb02c409da0bf95cab24b305deb28769e5460f766acf7eba6bfe032f6cd,used,FALSE,2026-09-02T02:44:08-0300
2019,total_annual,Darcio/data/raw_external/sidra_4406_total_annual_2019.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2019?formato=json",27269,81,0,0,86c63563f3e1ca4ae4f61ae2adc07efcdd30e1fccd69e776f816c81714dbd7dd,used,FALSE,2026-09-02T02:44:08-0300
2020,total_annual,Darcio/data/raw_external/sidra_4406_total_annual_2020.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2020?formato=json",27258,81,0,0,47cb24abab0d827365c681c16f93aa2818b10c9427b30b26725a5efcec25ccc2,used,FALSE,2026-09-02T02:44:08-0300
2021,total_annual,Darcio/data/raw_external/sidra_4406_total_annual_2021.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2021?formato=json",27272,81,0,0,7b4b36b319635d3263147bf7ad6eacb29aa591a44927fc5a3ed257bced7819bb,used,FALSE,2026-09-02T02:44:08-0300
