draw,beta
415,-0.00747977110064897
416,-0.0126165522344119
417,-0.00877818270590336
418,-0.00139258944600991
419,-0.0238653861629671
420,-0.0141839053839531
421,-0.0160374861657818
422,-0.0201516002782544
423,-0.0248376224684973
424,-0.0381849230077022
425,-0.00155530994467949
426,0.00368644641623428
427,-0.00801351447320208
428,-0.0134755088830122
429,-0.00102568346497646
430,0.0286182685416801
431,-0.0129370152428458
432,-0.0171420095814579
433,0.0142518693931854
434,-0.00867434909168515
435,-0.00333328329017721
436,0.00484852028369575
437,-0.0319684181230944
438,-7.74420150419958e-05
439,-0.00141589678343016
440,-0.0178026313329784
441,-0.00263713285548953
442,-0.0258132462488154
443,-0.00260327054213725
444,-0.00402177383243916
445,0.00254097564515625
446,-0.0330317871349092
447,-0.0223538354659127
448,0.00671127829079811
449,-0.00737799520262485
450,-0.0197574035104657
451,-0.0341302515410064
452,-0.00765961261637158
453,-0.0208438564389624
454,0.00452215549580704
455,-0.0290974031755874
456,-0.0179180500144215
457,0.011987202034947
458,-0.00280441824349335
459,-0.0286961056345562
460,0.00290882151690658
461,-0.0178677412324044
462,0.0212261483150287
463,0.00113177986640673
464,0.0157614949607974
465,-0.00669322276975696
466,-0.0150748662109539
467,-0.00352386197020923
468,-0.0433849067849874
469,-0.00534394839389732
470,-0.0140493284153693
471,-0.000393996132420089
472,-0.0208199083930829
473,-0.00763061304570254
474,-0.0166331136813227
475,-0.0116744998743676
476,0.0102447312427138
477,-0.025128548705792
478,-0.00484973399810471
479,0.00326092426347477
480,0.0299523433989417
481,-0.0104279307729195
482,-0.00286840554453768
483,-0.0130419018146751
484,-0.014568724166654
485,-0.0183640508191881
486,-0.00204986858857094
487,-0.0175803417666139
488,-0.00668568830485883
489,-0.0352366218344386
490,-0.00793820236516139
491,-0.0258644929021146
492,0.0189131668715338
493,-0.00242985074531298
494,-0.00922295050928905
495,-0.00870498899243982
496,-0.0151534752062758
497,-0.0190182089146618
498,-0.00141724640897946
499,-0.0238572734815405
